Number;Coleccion;Pais;Provincia;Localidad;FechaColecta;Ano_colecta;Latitud;Longitud;Temporalidad;Origen;BIBLIOGRAFIA
129;MHNG-MAM-1689.062;PY;Boqueron;Estancia La Conquista prus de Fortin Pratt Gill;27/7/1985;1985;-22.59547;-61.64046;Actual;GBIF;
130;WALLA_02220;BO;Santa Cruz;Estancia La India;;;-17.94464;-60.90972;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
131;GIOCI_00099;PY;PRESIDENTE HAYES;Estancia La Manada;2006;2006;-24.37111111;-59.13055556;Actual;Santos 2017;Unpublisehd data
132;ABA5;AR;Formosa;Estancia La Marcela Depto Pirane;8/13?;;-26.226555;-59.115275;Actual;Wallace et. al. 2013;
133;WALLA_02269;BO;Santa Cruz;Estancia San Miguelito;;;-17.083333;-61.783333;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
134;GIOCI_00100;PY;PRESIDENTE HAYES;Estancia Sanidad;2005;2005;-23.85333333;-59.83;Actual;Santos 2017;Unpublisehd data
135;79817;PY;Alto Paraguay;ESTANCIA TRES MARIAS;22/4/1997;1997;-21.203501;-59.504833;Actual;GBIF;
136;WALLA_02239;BO;Santa Cruz;Estancia Tucavaca;;;-18.19688;-59.44576;Actual;Wallace et. al. 2013;Wallace R.B., H.E. Lopez-Strauss, N. Mercado & Z.R. Porcel. 2013. Base de datos sobre la distribucion de los mamiferos medianos y grandes de Bolivia. DVD Interactivo. Wildlife Conservation Society, La Paz, Bolivia
137;;AR;Formosa;Estero Poi;2019;2019;-25.08579;-58.16152;Actual;This work;
138;JEFFT_00014;PY;Boqueron;Faro Moro;2005;2005;-21.73453;-60.02192;Actual;Santos 2017;NA
139;FETO_00019;BR;Mato Grosso do Sul;Fazenda Jofre Velho;30/6/1905;1905;-18.29967651;-57.50856575;Actual;Santos 2017;Unpublished data
